query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,Cost,Trials
query_cycle_6_45.graph,WJ_uniform_multi,1509704.0,543796.6999767604,-0.6397991262017187,0.6397991262017187,0.004415524052986289,1003,4303
query_cycle_6_45.graph,WJ_importance_multi,1509704.0,147109.20038347458,-0.9025575871935991,0.9025575871935991,0.007466401194624191,1000,4018
query_cycle_6_54.graph,WJ_uniform_multi,1509704.0,60811.899177500665,-0.9597193230080197,0.9597193230080197,0.003183868400106129,1003,3769
query_cycle_6_54.graph,WJ_importance_multi,1509704.0,37290.79349906354,-0.9752992682677774,0.9752992682677774,0.006182795698924731,1001,3720
query_cycle_6_58.graph,WJ_uniform_multi,581304.0,940044.9395973154,0.6171313797897751,0.6171313797897751,0.015396762731938412,1001,2533
query_cycle_6_58.graph,WJ_importance_multi,581304.0,394326.6013226419,-0.3216516636344462,0.3216516636344462,0.018140589569160998,1001,2646
query_cycle_6_59.graph,WJ_uniform_multi,71286.0,141901.16167320762,0.9905894800270407,0.9905894800270407,0.004307456686129989,1001,10447
query_cycle_6_59.graph,WJ_importance_multi,71286.0,172238.29407903345,1.416158770011411,1.416158770011411,0.0059629761480954075,1002,11236
query_cycle_6_60.graph,WJ_uniform_multi,537440.0,6771.817869847248,-0.987399862552383,0.987399862552383,0.0005021971123666039,1003,23895
query_cycle_6_60.graph,WJ_importance_multi,537440.0,293543.62791627395,-0.4538113502599845,0.4538113502599845,0.0009231053263177328,1000,21666
query_cycle_6_61.graph,WJ_uniform_multi,373882.0,206098.94233572972,-0.44875938842808766,0.44875938842808766,0.0011060278517922679,1003,19891
query_cycle_6_61.graph,WJ_importance_multi,373882.0,22624.694846096976,-0.939487071198675,0.939487071198675,0.0008058883575995272,1002,18613
query_cycle_6_62.graph,WJ_uniform_multi,249806.0,81598.344333661,-0.6733531447056474,0.6733531447056474,0.0017787763890839301,1002,21363
query_cycle_6_62.graph,WJ_importance_multi,249806.0,23764.84110617111,-0.9048668122215995,0.9048668122215995,0.001859579100145138,1001,22048
query_cycle_6_63.graph,WJ_uniform_multi,218958.0,457742.51455858373,1.0905493955853804,1.0905493955853804,0.004658746797111577,1000,8586
query_cycle_6_63.graph,WJ_importance_multi,218958.0,101479.72227785445,-0.5365333886962137,0.5365333886962137,0.004831911175079675,1002,9727
query_cycle_6_65.graph,WJ_uniform_multi,79225.0,57610.51883745963,-0.2728239970027184,0.2728239970027184,0.005997232046747655,1000,6503
query_cycle_6_65.graph,WJ_importance_multi,79225.0,51149.39931956813,-0.3543780458243215,0.3543780458243215,0.0069691172451489475,1001,7318
query_cycle_6_66.graph,WJ_uniform_multi,356812.0,156687.75193916349,-0.5608674822058578,0.5608674822058578,0.0006844106463878327,1003,13150
query_cycle_6_66.graph,WJ_importance_multi,356812.0,237406.71532007674,-0.3346448120576754,0.3346448120576754,0.0014852535539995756,1002,14139
query_cycle_6_68.graph,WJ_uniform_multi,3999965.0,38123963.4248366,8.531074253108864,8.531074253108864,0.028944911297852476,1000,1071
query_cycle_6_68.graph,WJ_importance_multi,3999965.0,10253520.111705506,1.5634024576978813,1.5634024576978813,0.037606837606837605,1002,1170
query_cycle_6_72.graph,WJ_uniform_multi,2679.0,2754.3401431359794,0.028122487172817977,0.028122487172817977,0.002277163305139883,1001,30740
query_cycle_6_72.graph,WJ_importance_multi,2679.0,3581.264230330616,0.3367914260285988,0.3367914260285988,0.0022671133218285793,1000,29553
query_cycle_6_73.graph,WJ_uniform_multi,434.0,1041.8184,1.4005032258064518,1.4005032258064518,0.00022,382,50000
query_cycle_6_73.graph,WJ_importance_multi,434.0,273.49819534563613,-0.36981982639254346,0.36981982639254346,0.00034,348,50000
query_cycle_6_76.graph,WJ_uniform_multi,3999965.0,399012.1248374512,-0.9002460959439768,0.9002460959439768,0.0377113133940182,1002,769
query_cycle_6_76.graph,WJ_importance_multi,3999965.0,1358210.5172682542,-0.6604443995714326,0.6604443995714326,0.05269461077844311,1001,835
query_cycle_6_82.graph,WJ_uniform_multi,33346.0,154808.76425554382,3.642498778130625,3.642498778130625,0.004454857444561774,1001,30304
query_cycle_6_82.graph,WJ_importance_multi,33346.0,212798.97715802133,5.381544327896039,5.381544327896039,0.003782246072282925,1000,30934
query_cycle_6_87.graph,WJ_uniform_multi,3999965.0,1225303.9235294117,-0.693671338741861,0.693671338741861,0.0392156862745098,1001,1020
query_cycle_6_87.graph,WJ_importance_multi,3999965.0,1133323.5361167886,-0.7166666368038749,0.7166666368038749,0.0364963503649635,1002,1096
query_cycle_6_88.graph,WJ_uniform_multi,1179.0,3590.13928,2.0450714843087363,2.0450714843087363,0.0004,459,50000
query_cycle_6_88.graph,WJ_importance_multi,1179.0,972.1886033878158,-0.17541255013756085,0.17541255013756085,0.00048,444,50000
query_cycle_6_89.graph,WJ_uniform_multi,2679.0,2397.5219533369504,-0.10506832648863365,0.10506832648863365,0.0011285946825827454,1001,46075
query_cycle_6_89.graph,WJ_importance_multi,2679.0,2417.727171531969,-0.0975262517611165,0.0975262517611165,0.0011727729042548202,1000,42634
