query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_cycle_8_329.graph,Uniform,2416537.0,4342615.3575,0.797040706391005,0.797040706391005,0.0006,125
query_cycle_8_329.graph,Importance (Post),2416537.0,516692.0885136504,-0.786184904880972,0.786184904880972,0.0019,112
query_cycle_8_332.graph,Uniform,26294.0,148.8312,-0.994339727694531,0.994339727694531,5e-05,4
query_cycle_8_332.graph,Importance (Post),26294.0,0.0,-1.0,1.0,0.0,4
query_cycle_8_335.graph,Uniform,1237604.0,1331199.9974,0.07562677350751937,0.07562677350751937,0.0101,1280
query_cycle_8_335.graph,Importance (Post),1237604.0,1079408.611754611,-0.12782391479454583,0.12782391479454583,0.02695,1086
query_cycle_8_337.graph,Uniform,662563.0,6616.7871,-0.990013346504408,0.990013346504408,0.0003,43
query_cycle_8_337.graph,Importance (Post),662563.0,379613.26341579924,-0.4270533316593301,0.4270533316593301,0.0007,50
query_cycle_8_342.graph,Uniform,946374.0,7036.4084,-0.9925648756199981,0.9925648756199981,0.001,176
query_cycle_8_342.graph,Importance (Post),946374.0,105411.65143126626,-0.8886152288299697,0.8886152288299697,0.0022,165
query_cycle_8_347.graph,Uniform,3414886.0,591905.8166,-0.8266689381138931,0.8266689381138931,0.00075,54
query_cycle_8_347.graph,Importance (Post),3414886.0,799689.6409750297,-0.7658224488386934,0.7658224488386934,0.00095,61
query_cycle_8_355.graph,Uniform,946374.0,82092.8094,-0.9132554260789074,0.9132554260789074,0.0011,209
query_cycle_8_355.graph,Importance (Post),946374.0,66674.36935728978,-0.9295475474206923,0.9295475474206923,0.00285,183
query_cycle_8_362.graph,Uniform,563140.0,1074182.9847,0.9074883416202009,0.9074883416202009,0.00095,129
