dataset_name,query_basename,total_rows,core_instances
dataset_test2,query_cycle_4_160.graph,3451,3451
dataset_test2,query_cycle_4_161.graph,1821,1821
dataset_test2,query_cycle_4_162.graph,3495,3495
dataset_test2,query_cycle_4_163.graph,4079,4079
dataset_test2,query_cycle_4_165.graph,3470,3470
dataset_test2,query_cycle_4_166.graph,3546,3546
dataset_test2,query_cycle_4_167.graph,3440,3440
dataset_test2,query_cycle_4_168.graph,3362,3362
dataset_test2,query_cycle_4_169.graph,4137,4137
dataset_test2,query_cycle_4_170.graph,3486,3486
dataset_test2,query_cycle_4_171.graph,3379,3379
dataset_test2,query_cycle_4_172.graph,3550,3550
dataset_test2,query_cycle_4_173.graph,4295,4295
dataset_test2,query_cycle_4_175.graph,4168,4168
dataset_test2,query_cycle_4_176.graph,3412,3412
dataset_test2,query_cycle_4_177.graph,1790,1790
dataset_test2,query_cycle_4_178.graph,3403,3403
dataset_test2,query_cycle_4_179.graph,1350,1350
dataset_test2,query_cycle_4_180.graph,4161,4161
dataset_test2,query_cycle_4_181.graph,3458,3458
dataset_test2,query_cycle_4_182.graph,3461,3461
dataset_test2,query_cycle_4_183.graph,4218,4218
dataset_test2,query_cycle_4_184.graph,3509,3509
dataset_test2,query_cycle_4_186.graph,4073,4073
dataset_test2,query_cycle_4_187.graph,3514,3514
dataset_test2,query_cycle_4_188.graph,4021,4021
dataset_test2,query_cycle_4_189.graph,1353,1353
dataset_test2,query_cycle_4_192.graph,4278,4278
dataset_test2,query_cycle_4_193.graph,3497,3497
dataset_test2,query_cycle_4_194.graph,3484,3484
dataset_test2,query_cycle_4_195.graph,4316,4316
dataset_test2,query_cycle_4_197.graph,1978,1978
dataset_test2,query_cycle_4_2.graph,524,524
dataset_test2,query_cycle_4_20.graph,1845,1845
dataset_test2,query_cycle_4_21.graph,1441,1441
dataset_test2,query_cycle_4_22.graph,1042,1042
dataset_test2,query_cycle_4_23.graph,1441,1441
dataset_test2,query_cycle_4_24.graph,1509,1509
dataset_test2,query_cycle_4_25.graph,1987,1987
dataset_test2,query_cycle_4_29.graph,1489,1489
dataset_test2,query_cycle_4_292.graph,2581,2581
dataset_test2,query_cycle_4_293.graph,4284,4284
dataset_test2,query_cycle_4_294.graph,2356,2356
dataset_test2,query_cycle_4_295.graph,2459,2459
dataset_test2,query_cycle_4_296.graph,1066,1066
dataset_test2,query_cycle_4_297.graph,1753,1753
dataset_test2,query_cycle_4_298.graph,1404,1404
dataset_test2,query_cycle_4_299.graph,2643,2643
dataset_test2,query_cycle_4_3.graph,1518,1518
dataset_test2,query_cycle_4_300.graph,2258,2258
dataset_test2,query_cycle_4_301.graph,4331,4331
dataset_test2,query_cycle_4_302.graph,2347,2347
dataset_test2,query_cycle_4_303.graph,2234,2234
dataset_test2,query_cycle_4_304.graph,2553,2553
dataset_test2,query_cycle_4_306.graph,3511,3511
dataset_test2,query_cycle_4_307.graph,2310,2310
dataset_test2,query_cycle_4_308.graph,2457,2457
dataset_test2,query_cycle_4_309.graph,1820,1820
dataset_test2,query_cycle_4_31.graph,1504,1504
dataset_test2,query_cycle_4_310.graph,2317,2317
dataset_test2,query_cycle_4_311.graph,2553,2553
dataset_test2,query_cycle_4_313.graph,2560,2560
dataset_test2,query_cycle_4_314.graph,1595,1595
dataset_test2,query_cycle_4_315.graph,2505,2505
dataset_test2,query_cycle_4_316.graph,2429,2429
